N,vector_dim,runs,secure_time_ns_avg,secure_time_ns_min,secure_time_ns_max,secure_time_ns_stddev,user_time_ns_avg,user_time_ns_min,user_time_ns_max,user_time_ns_stddev
50,2,20,6828.4,6060,18058,2636.09,16.35,13,40,6.39746
100,2,20,6319.05,6105,9504,732.864,16.55,14,21,1.49917
200,2,20,6181.5,6064,6285,65.429,16.5,13,18,1.24499
300,2,20,6222.4,6191,6411,48.3543,15.4,13,18,1.56205
400,2,20,6218.75,6183,6387,45.1684,15.75,13,18,1.57718
500,2,20,6222.9,6196,6418,47.2905,16.6,13,18,1.35647
600,2,20,6220.15,6191,6387,40.2806,16.85,13,19,1.31434
700,2,20,6224.75,6185,6408,48.9417,15.65,13,19,1.71099
800,2,20,6224.4,6195,6384,41.5937,15.65,13,18,1.65151
900,2,20,6337.65,6191,8296,451.511,17.4,14,21,1.65529
1000,2,20,6221.15,6190,6418,49.1185,16.65,13,18,1.23592
50,2,30,6273.33,6228,6636,74.1316,14.5667,12,18,1.38283
100,2,30,6450.97,6222,6545,100.236,14.9,13,20,1.49108
200,2,30,6515.23,6473,6668,47.2445,15.4333,13,17,0.989388
300,2,30,6646.1,6467,9877,601.903,15.9,14,18,1.10604
400,2,30,6728.53,6479,6918,152.161,17.7667,13,26,2.53881
500,2,30,7032.33,6780,9468,459.157,17.9667,15,20,1.79784
600,2,30,6999.53,6930,7346,83.4037,21.6333,16,91,12.937
700,2,30,7000.73,6940,7281,72.0537,19.4,16,21,1.08321
800,2,30,7482.1,6946,11740,842.439,18.6,15,22,1.90788
900,2,30,8125.5,7524,11782,1064.14,23.2667,17,122,18.5165
1000,2,30,7935.8,7680,10891,600.874,21.5667,20,24,0.803465
50,2,50,7873.08,7727,10636,401.783,19.1,17,23,1.51327
100,2,50,15740,7866,16606,1902.12,39.56,18,52,6.64277
200,2,50,12640.1,12078,16784,670.039,31.24,26,37,3.18471
300,2,50,15979.9,12078,22197,3340.73,42.06,26,54,8.46028
400,2,50,12313.1,6938,19451,5746.57,33.12,19,55,15.6776
500,2,50,6879.14,6758,7194,109.643,22.88,15,279,36.6424
600,2,50,6783.46,6453,7666,173.569,16.82,14,20,1.74
700,2,50,6901.66,6295,28733,3123.24,18,14,20,1.11355
800,2,50,6344.38,6319,6519,28.3964,17.62,13,19,1.09343
900,2,50,6244.22,6173,7450,183.212,15.5,13,19,1.84662
1000,2,50,6617.7,6152,20255,1974.73,16.54,13,65,7.24765
50,4,20,13933.9,13047,29692,3615.41,18.1,14,51,7.59539
100,4,20,13097.5,13030,13231,48.8298,16.9,16,20,0.943398
200,4,20,13251.9,13039,16156,667.65,16.5,15,18,0.67082
300,4,20,13336,13055,17284,907.105,16.25,14,18,0.766485
400,4,20,13125.5,13084,13266,44.799,16.45,16,18,0.589491
500,4,20,18232.6,13037,35148,8946.92,23.1,13,45,11.8781
600,4,20,35588.6,34584,42163,1709.57,43.65,36,50,3.29052
700,4,20,37230.2,36339,43561,1464.87,45.55,38,51,2.81913
800,4,20,35077.1,34571,41889,1568.19,43.8,38,48,1.72047
900,4,20,27093,23533,34816,5021.39,33.45,24,45,6.59905
1000,4,20,24616.5,23500,34679,2728.81,30.9,25,44,4.62493
50,4,30,34946.7,34571,41404,1205.58,43.7,42,47,1.15902
100,4,30,15773.8,13050,34792,6805.4,19.0667,15,45,8.23381
200,4,30,13259.8,13055,16138,570.667,16.7,16,18,0.585947
300,4,30,18277.8,13062,32945,8581.44,23.1667,15,43,11.1507
400,4,30,32126.2,30900,42201,2057.31,40.0333,33,43,1.99137
500,4,30,30694.3,29399,36779,1358.23,38.5667,36,42,1.49852
600,4,30,30148.8,29407,39347,1916.61,38,31,47,3.11983
700,4,30,29856.9,28001,35011,1396.18,37.7667,34,56,3.65772
800,4,30,28499.7,27971,32920,1084.18,36.5333,31,62,5.14933
900,4,30,28234.6,27979,33419,964.802,35.3333,32,38,1.37437
1000,4,30,26471.4,15505,28704,4118.79,34.5,19,79,9.94569
50,4,50,15497.4,15448,15616,27.8073,19.36,17,21,0.793977
100,4,50,23793.4,15452,35763,4018.96,29.54,18,33,4.55285
200,4,50,24915.7,24460,29743,854.55,32.1,27,89,8.22496
300,4,50,24358.9,23521,27235,683.861,30.58,25,34,1.48445
